NAME,APPS,MINS,ATT_GOALS,ATT_XG,ATT_GOALS VS XG,ATT_SHOTS,ATT_SOT,ATT_CONV %,ATT_XG PER SHOT,CAR_TOTAL (ALL CARRIES),CAR_DISTANCE (M) (ALL CARRIES),CAR_AVG (M) (ALL CARRIES),CAR_TOTAL (PROGRESSIVE),CAR_DISTANCE (M) (PROGRESSIVE),CAR_AVG (M) (PROGRESSIVE),CAR_ENDED WITH SHOT,CAR_ENDED WITH GOAL,CAR_ENDED WITH CHANCE,CAR_ENDED WITH ASSIST,DEF_TACKLES,DEF_INTS,DEF_POS WON,DEF_BLOCKS,DEF_CLEARANCES,DEF_TOTAL (GROUND DUELS),DEF_WON (GROUND DUELS),DEF_% (GROUND DUELS),DEF_TOTAL (AERIAL DUELS),DEF_WON (AERIAL DUELS),DEF_% (AERIAL DUELS),PAS_TOTAL (OPEN PLAY PASSES),PAS_SUCCESSFUL (OPEN PLAY PASSES),PAS_% (OPEN PLAY PASSES),PAS_TOTAL (FINAL THIRD PASSES),PAS_SUCCESSFUL (FINAL THIRD PASSES),PAS_% (FINAL THIRD PASSES),PAS_TOTAL (CROSSES),PAS_SUCCESSFUL (CROSSES),PAS_% (CROSSES),PAS_THROUGH BALLS
Julián Malatini,11,516,0.00,0.01,-0.01,0.35,0.00,0.00%,0.01,14.83,153.1,10.3,5.06,43.7,1.5,0.00,0.00,0.00,0.00,2.62,0.87,4.88,0.17,8.02,5.41,2.97,54.8%,3.84,1.92,50.0%,59.13,49.36,83.5%,8.72,6.45,74.0%,0.87,0.35,40.0%,0.00
Junior Adamu,9,450,0.20,0.33,-0.13,1.40,0.60,14.29%,0.24,5.60,58.4,10.4,1.60,8.4,1.1,0.20,0.00,0.20,0.00,2.20,1.20,2.80,0.40,1.20,9.20,5.00,54.3%,10.20,4.60,45.1%,16.40,9.60,58.5%,6.60,3.20,48.5%,0.40,0.20,50.0%,0.00
Justin Njinmah,33,1955,0.23,0.31,-0.08,2.85,1.06,8.06%,0.11,9.71,124.2,12.8,5.57,63.6,0.5,1.38,0.09,0.28,0.00,1.06,0.28,2.26,0.05,0.60,6.08,3.18,52.3%,1.75,0.78,44.7%,20.16,15.47,76.7%,8.79,6.40,72.8%,1.61,0.41,25.7%,0.00
Kacper Potulski,15,1060,0.08,0.16,-0.08,1.19,0.42,7.14%,0.14,6.11,52.7,8.6,2.38,11.7,0.4,0.00,0.00,0.00,0.00,1.27,1.53,3.23,1.19,6.20,4.08,1.87,45.8%,5.43,3.23,59.4%,37.36,30.74,82.3%,5.18,2.63,50.8%,0.17,0.00,0.0%,0.08
Kaishu Sano,34,3059,0.03,0.04,-0.01,0.71,0.18,4.17%,0.06,10.03,121.0,12.1,5.27,63.0,0.4,0.18,0.03,0.26,0.03,1.53,1.94,5.97,0.38,1.35,5.03,3.21,63.7%,3.56,2.18,61.2%,37.72,30.22,80.1%,11.80,8.30,70.3%,0.53,0.12,22.2%,0.09
Karim Adeyemi,28,1196,0.53,0.37,0.16,2.33,1.05,22.58%,0.16,11.59,146.1,12.6,6.92,73.9,0.8,0.38,0.08,0.60,0.23,0.38,0.60,3.46,0.00,0.15,11.51,4.29,37.3%,1.13,0.53,46.7%,22.05,15.80,71.7%,12.42,8.58,69.1%,0.90,0.23,25.0%,0.30
Karim Coulibaly,27,2122,0.04,0.03,0.01,0.25,0.04,16.67%,0.11,13.87,128.4,9.3,5.98,50.6,0.4,0.00,0.00,0.08,0.00,1.15,0.98,2.80,0.72,4.54,3.48,1.87,53.7%,3.35,1.53,45.6%,60.95,52.85,86.7%,7.51,5.05,67.2%,0.55,0.13,23.1%,0.00
Karol Mets,23,1934,0.05,0.04,0.01,0.33,0.05,14.29%,0.11,7.96,82.4,10.4,4.28,36.6,0.4,0.00,0.00,0.00,0.00,1.16,0.93,3.07,0.33,5.77,2.51,1.63,64.8%,3.72,2.09,56.3%,55.84,47.89,85.8%,9.12,5.44,59.7%,0.28,0.09,33.3%,0.00
Keke Topp,20,629,0.14,0.29,-0.15,3.58,0.43,4.00%,0.08,7.30,76.8,10.5,3.00,32.1,1.5,0.57,0.00,0.00,0.00,1.29,0.14,4.01,0.00,1.57,8.01,2.86,35.7%,8.44,3.29,39.0%,27.04,20.32,75.1%,12.45,8.59,69.0%,0.72,0.14,20.0%,0.00
Keven Schlotterbeck,24,2031,0.00,0.06,-0.06,0.53,0.13,0.00%,0.11,9.84,92.0,9.4,5.36,46.2,0.4,0.00,0.00,0.04,0.00,1.77,1.46,4.48,0.97,5.49,4.65,3.06,65.7%,4.70,2.97,63.2%,53.62,45.86,85.5%,8.64,5.49,63.6%,0.27,0.18,66.7%,0.22
Kevin Diks,30,2467,0.18,0.19,-0.00,0.84,0.47,21.74%,0.22,10.94,114.7,10.5,5.33,52.6,0.4,0.07,0.00,0.00,0.00,1.57,0.88,4.78,0.58,4.82,3.98,2.74,68.8%,2.99,1.79,59.8%,58.59,52.39,89.4%,7.77,5.55,71.4%,0.18,0.04,20.0%,0.15
Kevin Stöger,29,1324,0.07,0.17,-0.10,1.56,0.48,4.35%,0.11,11.08,119.7,10.8,6.32,62.7,0.7,0.34,0.00,0.14,0.00,2.52,0.95,4.42,0.14,1.22,9.31,4.69,50.4%,0.68,0.14,20.0%,54.52,45.07,82.7%,18.90,13.12,69.4%,1.63,0.34,20.8%,0.41
Kilian Fischer,11,803,0.00,0.01,-0.01,0.22,0.00,0.00%,0.05,9.41,102.1,10.8,4.82,43.8,1.0,0.11,0.00,0.00,0.00,2.24,1.34,2.35,0.34,3.59,5.72,2.80,49.0%,2.35,1.34,57.1%,40.91,32.95,80.5%,8.97,5.94,66.3%,1.79,0.22,12.5%,0.00
Kim Min-Jae,25,1605,0.06,0.03,0.02,0.28,0.17,20.00%,0.12,18.28,197.5,10.8,10.09,111.5,0.6,0.00,0.00,0.11,0.06,1.23,2.19,4.88,0.90,4.49,2.30,1.46,63.4%,4.15,2.58,62.2%,88.60,84.11,94.9%,15.20,13.51,88.9%,0.06,0.00,0.0%,0.17
Konrad Laimer,29,1997,0.14,0.11,0.03,0.77,0.36,17.65%,0.14,14.47,147.7,10.2,9.24,93.4,0.5,0.14,0.05,0.59,0.00,2.07,0.77,4.06,0.27,1.35,7.17,3.11,43.4%,1.85,0.68,36.6%,62.10,55.93,90.1%,26.59,23.39,88.0%,1.71,0.54,31.6%,0.27
Konstantinos Koulierakis,29,2481,0.15,0.12,0.03,0.94,0.44,15.38%,0.12,11.14,115.2,10.3,6.28,63.5,0.4,0.11,0.00,0.11,0.00,1.41,1.34,3.01,0.54,5.88,3.45,1.96,56.8%,4.03,2.29,56.8%,53.83,45.38,84.3%,8.42,5.33,63.4%,0.73,0.33,45.0%,0.11
Kristijan Jakic,26,1653,0.11,0.08,0.02,0.98,0.33,11.11%,0.09,7.19,71.2,9.9,3.10,22.8,0.4,0.27,0.00,0.38,0.00,1.85,0.87,5.17,0.38,2.94,5.77,3.05,52.8%,2.18,1.03,47.5%,39.20,31.47,80.3%,10.29,7.35,71.4%,0.33,0.16,50.0%,0.05
Kristoffer Lund,33,2283,0.00,0.03,-0.03,0.79,0.12,0.00%,0.04,8.87,98.4,11.1,5.24,54.4,0.4,0.04,0.00,0.24,0.04,1.50,1.02,4.10,0.28,3.90,5.72,3.78,66.2%,3.15,1.26,40.0%,32.96,25.35,76.9%,9.93,6.35,63.9%,2.80,0.79,28.2%,0.08
Lars Ritzka,21,970,0.00,0.04,-0.04,0.37,0.09,0.00%,0.11,3.99,34.4,8.6,2.04,15.2,0.7,0.00,0.00,0.00,0.00,3.71,1.48,3.43,0.46,3.15,6.77,3.90,57.5%,2.69,1.11,41.4%,35.44,25.70,72.5%,8.26,4.64,56.2%,1.76,0.37,21.1%,0.00
Lee Jae-Sung,28,2198,0.16,0.13,0.03,1.23,0.37,13.33%,0.11,4.55,45.3,10.0,2.21,18.4,0.3,0.08,0.00,0.12,0.00,1.56,1.02,3.56,0.04,1.43,5.53,2.62,47.4%,4.50,1.80,40.0%,27.56,21.29,77.3%,9.99,6.96,69.7%,0.90,0.25,27.3%,0.29
Lennard Maloney,21,472,0.00,0.07,-0.07,0.95,0.19,0.00%,0.07,4.77,38.5,8.1,1.33,9.7,1.4,0.00,0.00,0.00,0.00,1.91,1.53,3.81,0.38,5.34,5.91,2.48,41.9%,8.58,4.19,48.9%,32.99,23.83,72.3%,8.01,2.67,33.3%,0.38,0.19,50.0%,0.00
Lennart Karl,26,1282,0.35,0.53,-0.18,2.95,1.47,11.90%,0.18,17.41,184.8,10.6,7.58,58.0,0.5,1.19,0.14,0.70,0.14,1.76,0.98,3.79,0.14,0.14,10.32,4.00,38.8%,0.98,0.14,14.3%,57.29,49.21,85.9%,25.41,19.87,78.2%,1.76,0.49,28.0%,0.28
Leon Avdullahu,33,2838,0.00,0.02,-0.02,0.44,0.06,0.00%,0.04,11.61,119.5,10.3,4.98,34.5,0.2,0.03,0.00,0.13,0.00,1.49,1.08,5.45,0.16,1.46,4.88,2.12,43.5%,1.81,1.01,56.1%,64.82,58.32,90.0%,15.03,11.99,79.8%,0.41,0.06,15.4%,0.13
Leon Goretzka,31,1954,0.23,0.22,0.01,1.61,0.51,14.29%,0.14,17.78,186.0,10.5,9.17,99.3,0.5,0.18,0.00,0.28,0.05,1.34,1.20,4.61,0.37,1.93,4.65,2.58,55.4%,2.72,1.01,37.3%,74.52,68.12,91.4%,22.15,18.88,85.2%,0.28,0.00,0.0%,0.60
Leonardo Bittencourt,17,609,0.00,0.04,-0.04,1.03,0.00,0.00%,0.04,17.88,187.9,10.5,6.95,50.5,1.1,0.30,0.00,0.15,0.00,2.36,1.18,5.32,0.00,1.48,7.39,4.43,60.0%,1.63,0.89,54.5%,64.58,55.12,85.3%,16.70,12.41,74.3%,0.30,0.00,0.0%,0.15
Leopold Querfeld,31,2704,0.10,0.12,-0.02,0.97,0.33,10.34%,0.12,10.09,93.6,9.3,5.13,52.2,0.3,0.00,0.00,0.07,0.00,1.73,1.20,2.86,0.77,7.32,5.06,2.76,54.6%,6.59,4.26,64.6%,40.51,32.39,80.0%,9.05,4.29,47.4%,0.13,0.00,0.0%,0.07
Linton Maina,24,1021,0.18,0.12,0.06,1.76,0.71,10.00%,0.07,12.43,179.2,14.4,7.67,100.5,1.2,0.71,0.18,0.97,0.00,0.79,0.35,4.32,0.18,0.53,5.91,2.20,37.3%,0.44,0.09,20.0%,26.97,22.83,84.6%,12.87,10.40,80.8%,1.76,0.18,10.0%,0.18
Livan Burcu,18,645,0.14,0.22,-0.09,2.23,0.42,6.25%,0.10,16.74,228.1,13.6,9.07,110.6,1.7,0.70,0.00,0.84,0.00,1.67,0.28,5.02,0.00,1.26,10.88,5.58,51.3%,1.40,0.14,10.0%,29.02,23.16,79.8%,12.56,8.65,68.9%,2.09,0.56,26.7%,0.28
Lorenz Assignon,24,1092,0.00,0.05,-0.05,0.99,0.33,0.00%,0.05,10.14,111.1,11.0,4.86,52.2,0.9,0.25,0.00,0.25,0.00,1.81,1.07,3.30,0.16,2.55,6.92,3.30,47.6%,3.21,1.65,51.3%,39.56,33.13,83.8%,12.28,9.64,78.5%,3.30,0.91,27.5%,0.00
Louis Oppie,23,1616,0.06,0.05,0.01,0.84,0.22,6.67%,0.06,4.01,39.4,9.8,2.28,21.0,0.5,0.11,0.00,0.06,0.00,1.34,0.56,4.18,0.11,2.39,4.46,2.28,51.3%,1.34,0.39,29.2%,36.09,28.29,78.4%,12.20,8.69,71.2%,2.34,0.39,16.7%,0.06
Lovro Majer,28,1373,0.13,0.20,-0.07,1.77,0.46,7.41%,0.11,13.77,136.6,9.9,6.23,47.4,0.5,0.52,0.00,0.33,0.13,1.70,0.59,4.72,0.07,1.25,8.91,3.87,43.4%,2.16,0.79,36.4%,35.00,28.71,82.0%,13.70,10.16,74.2%,1.31,0.26,20.0%,0.52
Loïc Badé,23,1652,0.00,0.07,-0.07,0.65,0.22,0.00%,0.11,16.34,168.1,10.3,7.46,75.8,0.6,0.05,0.00,0.05,0.00,1.80,1.14,5.99,0.98,6.05,3.54,2.18,61.5%,4.63,3.00,64.7%,77.42,71.31,92.1%,9.42,7.85,83.2%,0.22,0.05,25.0%,0.11
Luca Jaquez,14,900,0.00,0.01,-0.01,0.40,0.00,0.00%,0.03,18.80,182.1,9.7,8.00,80.5,1.0,0.10,0.00,0.00,0.00,0.80,1.00,4.50,0.50,4.50,2.00,1.10,55.0%,3.50,1.90,54.3%,72.70,66.00,90.8%,10.70,7.80,72.9%,0.10,0.00,0.0%,0.10
Luca Kerber,18,677,0.27,0.22,0.04,1.06,0.40,25.00%,0.21,3.19,28.1,8.8,1.20,5.1,0.6,0.00,0.00,0.00,0.00,2.26,0.40,1.20,0.40,1.99,7.05,3.06,43.4%,3.32,1.60,48.0%,15.29,11.03,72.2%,5.58,3.06,54.8%,0.53,0.13,25.0%,0.00
Luca Netz,15,938,0.00,0.00,-0.00,0.19,0.00,0.00%,0.02,6.33,64.6,10.2,3.45,29.0,0.8,0.00,0.00,0.10,0.00,1.54,0.48,2.97,0.48,3.65,5.37,2.59,48.2%,1.54,0.77,50.0%,33.97,26.10,76.8%,8.35,6.33,75.9%,0.96,0.29,30.0%,0.00
Luca Reggiani,8,513,0.18,0.08,0.10,0.53,0.18,33.33%,0.14,13.68,132.3,9.7,7.02,58.9,1.5,0.18,0.00,0.00,0.00,2.46,0.35,3.16,0.18,2.63,5.09,3.51,69.0%,1.93,0.88,45.5%,66.32,58.42,88.1%,11.93,7.19,60.3%,0.18,0.00,0.0%,0.35
Luca Waldschmidt,24,666,0.68,0.75,-0.07,3.51,1.76,19.23%,0.21,9.32,109.5,11.7,4.05,42.3,1.4,0.41,0.00,0.00,0.00,1.08,0.54,2.84,0.27,1.22,6.62,2.84,42.9%,2.30,1.35,58.8%,30.27,22.97,75.9%,12.57,7.84,62.4%,0.95,0.41,42.9%,0.95
Lucas Höler,33,2043,0.13,0.20,-0.07,1.50,0.66,8.82%,0.13,4.80,45.7,9.5,2.20,15.7,0.3,0.22,0.00,0.13,0.00,1.10,0.48,3.39,0.09,1.81,6.43,2.82,43.8%,6.26,3.00,47.9%,24.67,17.00,68.9%,10.88,6.30,57.9%,0.35,0.04,12.5%,0.04
Lucas Vázquez,12,479,0.19,0.09,0.09,0.75,0.19,25.00%,0.13,11.46,116.9,10.2,4.70,44.5,1.8,0.00,0.00,0.94,0.00,1.13,0.38,4.13,0.38,1.69,6.01,2.82,46.9%,1.32,0.75,57.1%,43.78,38.14,87.1%,16.53,13.72,83.0%,3.57,1.32,36.8%,0.38
Luis Díaz,32,2450,0.55,0.56,-0.01,3.23,1.36,17.05%,0.17,18.59,213.4,11.5,9.33,80.7,0.3,1.51,0.11,0.92,0.11,0.77,0.51,5.07,0.07,0.07,10.25,4.41,43.0%,1.25,0.44,35.3%,47.39,40.67,85.8%,23.07,18.33,79.5%,1.73,0.29,17.0%,0.33
Luka Vuskovic,28,2441,0.22,0.16,0.07,1.18,0.37,18.75%,0.13,13.75,144.6,10.5,7.60,70.5,0.3,0.04,0.00,0.15,0.00,0.81,1.47,4.65,0.92,9.25,3.91,2.14,54.7%,7.37,5.49,74.5%,56.56,46.97,83.0%,8.30,3.80,45.8%,0.07,0.00,0.0%,0.11
Lukas Kübler,23,1593,0.11,0.18,-0.07,1.07,0.28,10.53%,0.17,6.10,60.4,9.9,2.94,18.4,0.4,0.06,0.00,0.11,0.06,2.26,2.20,3.05,0.51,4.12,5.03,2.99,59.6%,3.73,2.15,57.6%,35.88,29.15,81.3%,8.64,6.05,69.9%,1.64,0.45,27.6%,0.00
Lukas Ullrich,23,1306,0.00,0.04,-0.04,0.69,0.14,0.00%,0.06,9.58,104.4,10.9,5.10,55.6,0.8,0.21,0.00,0.21,0.00,1.93,1.45,3.58,0.34,2.89,6.48,3.31,51.1%,1.24,0.69,55.6%,33.56,26.12,77.8%,7.79,5.38,69.0%,2.41,0.62,25.7%,0.00
Mahmoud Dahoud,15,716,0.25,0.11,0.15,2.14,0.25,11.76%,0.05,10.18,85.3,8.4,3.77,33.2,1.1,0.38,0.00,0.00,0.00,1.38,1.26,4.53,0.25,1.26,6.66,2.26,34.0%,1.76,0.63,35.7%,45.75,37.21,81.3%,11.19,7.67,68.5%,0.50,0.13,25.0%,0.13
Malik Tillman,29,1677,0.32,0.25,0.07,1.82,0.70,17.65%,0.14,8.86,92.7,10.5,4.88,48.3,0.5,0.21,0.05,0.38,0.00,2.04,0.97,4.40,0.32,0.70,8.64,4.19,48.4%,2.20,1.40,63.4%,42.02,35.10,83.5%,15.62,11.43,73.2%,0.91,0.11,11.8%,0.64
Manolis Saliakas,17,1110,0.08,0.05,0.03,1.30,0.24,6.25%,0.04,8.19,86.8,10.6,4.95,44.5,0.7,0.24,0.00,0.08,0.00,2.35,1.05,4.62,0.08,2.11,4.62,3.32,71.9%,1.46,0.65,44.4%,42.00,31.22,74.3%,14.68,8.92,60.8%,3.16,0.57,17.9%,0.24
Marcel Sabitzer,26,1822,0.05,0.06,-0.01,0.99,0.20,5.00%,0.06,6.27,64.0,10.2,3.01,28.0,0.5,0.00,0.00,0.20,0.00,1.48,0.94,3.26,0.30,2.12,4.35,2.42,55.7%,1.73,0.79,45.7%,39.12,32.80,83.8%,14.82,11.31,76.3%,1.73,0.59,34.3%,0.10
Marco Friedl,30,2549,0.04,0.02,0.01,0.28,0.07,12.50%,0.08,12.39,125.4,10.1,6.81,69.1,0.4,0.00,0.00,0.07,0.00,1.55,1.24,4.13,0.78,5.54,3.67,2.22,60.6%,3.04,1.94,64.0%,63.41,56.42,89.0%,11.26,7.94,70.5%,0.49,0.04,7.1%,0.11
Marco Grüll,33,2011,0.13,0.16,-0.03,1.92,0.58,6.98%,0.08,10.65,126.3,11.9,5.95,65.3,0.5,0.67,0.04,0.31,0.00,1.70,0.67,3.54,0.27,1.12,8.50,3.85,45.3%,1.79,0.67,37.5%,27.57,21.26,77.1%,12.35,8.86,71.7%,2.15,0.54,25.0%,0.09
Mario Götze,21,879,0.00,0.06,-0.06,0.51,0.00,0.00%,0.11,8.70,80.6,9.3,3.99,32.0,0.8,0.00,0.00,0.20,0.00,1.43,0.51,5.02,0.31,0.31,7.88,3.17,40.3%,1.64,0.10,6.3%,50.58,42.08,83.2%,15.77,11.88,75.3%,1.43,0.20,14.3%,0.20
Marius Bülter,32,1591,0.28,0.25,0.04,2.38,0.96,11.90%,0.10,8.03,89.8,11.2,4.02,39.9,0.6,0.45,0.06,0.51,0.06,0.40,0.40,2.38,0.11,1.02,4.86,1.92,39.5%,5.83,2.38,40.8%,22.74,16.63,73.1%,10.35,6.84,66.1%,3.51,0.85,24.2%,0.06
Marius Wolf,29,1013,0.09,0.10,-0.01,1.24,0.44,7.14%,0.08,6.75,88.2,13.1,3.82,46.3,1.1,0.44,0.09,0.27,0.00,1.69,0.98,4.18,0.00,2.22,5.15,2.49,48.3%,1.51,0.62,41.2%,29.14,19.19,65.8%,12.17,7.29,59.9%,3.82,0.89,23.3%,0.00
Marnon Busch,29,1912,0.05,0.05,-0.01,0.56,0.14,8.33%,0.09,7.34,80.4,10.9,3.95,32.9,0.4,0.05,0.00,0.28,0.09,1.69,1.51,3.86,0.47,4.05,4.38,2.21,50.5%,2.21,0.99,44.7%,32.20,25.79,80.1%,9.41,6.07,64.5%,2.73,0.38,13.8%,0.14
Martijn Kaars,29,1345,0.20,0.24,-0.04,1.61,0.67,12.50%,0.15,5.69,72.7,12.8,3.41,43.5,0.9,0.47,0.07,0.13,0.07,0.47,0.00,1.94,0.00,0.47,4.15,1.20,29.0%,3.41,0.87,25.5%,22.15,17.46,78.8%,8.97,6.76,75.4%,1.07,0.13,12.5%,0.07
Martin Terrier,18,672,0.54,0.34,0.19,2.28,0.80,23.53%,0.15,6.70,67.3,10.1,2.68,22.8,1.1,0.54,0.13,0.13,0.13,1.47,0.13,2.41,0.13,0.54,6.16,3.88,63.0%,2.01,0.94,46.7%,33.08,28.13,85.0%,13.53,10.85,80.2%,0.67,0.13,20.0%,0.13
Marvin Pieringer,27,1653,0.22,0.32,-0.10,1.74,0.44,12.50%,0.18,7.79,83.1,10.7,3.92,32.3,0.4,0.22,0.00,0.38,0.00,1.09,0.54,2.40,0.05,1.69,7.40,3.32,44.9%,7.19,3.48,48.5%,20.85,14.16,67.9%,8.87,4.95,55.8%,0.87,0.16,18.8%,0.05
Mathias Honsak,27,1248,0.14,0.23,-0.08,2.24,0.58,6.45%,0.10,9.09,103.5,11.4,4.83,40.8,0.6,0.36,0.00,0.29,0.07,1.51,1.30,4.83,0.07,2.02,8.44,3.61,42.7%,2.88,1.15,40.0%,21.63,16.01,74.0%,7.79,5.12,65.7%,1.73,0.22,12.5%,0.07
Mathias Pereira Lage,28,2030,0.09,0.19,-0.10,1.91,0.67,4.65%,0.10,5.01,53.7,10.7,3.06,29.2,0.4,0.22,0.00,0.00,0.00,1.68,0.71,2.93,0.09,1.46,7.45,3.68,49.4%,5.14,2.00,38.8%,21.55,14.32,66.5%,9.18,5.67,61.8%,1.51,0.22,14.7%,0.04
Mathias Rasmussen,13,692,0.00,0.10,-0.10,0.78,0.26,0.00%,0.13,5.98,53.4,8.9,2.73,21.9,1.0,0.00,0.00,0.13,0.00,1.95,0.91,4.55,0.13,1.04,5.59,3.38,60.5%,2.21,1.04,47.1%,40.32,31.08,77.1%,11.05,6.76,61.2%,0.65,0.26,40.0%,0.00
Matthias Ginter,32,2836,0.10,0.07,0.02,0.60,0.22,15.79%,0.12,15.80,151.7,9.6,9.77,97.8,0.3,0.03,0.00,0.03,0.00,0.70,0.73,3.40,0.63,6.12,2.32,1.40,60.3%,5.55,3.43,61.7%,56.71,49.60,87.5%,10.00,6.82,68.3%,0.57,0.16,27.8%,0.03
Mattias Svanberg,24,854,0.32,0.31,0.01,2.21,0.84,14.29%,0.14,4.85,50.6,10.4,2.74,24.0,0.9,0.32,0.00,0.21,0.00,1.05,0.95,3.16,0.42,2.21,8.33,3.48,41.8%,2.85,1.26,44.4%,23.82,16.86,70.8%,8.85,5.59,63.1%,0.74,0.11,14.3%,0.21
Max Finkgräfe,13,502,0.18,0.03,0.15,0.72,0.36,25.00%,0.05,10.94,120.2,11.0,6.45,74.0,2.1,0.18,0.00,0.00,0.00,2.87,1.25,6.27,0.18,1.25,6.81,4.48,65.8%,1.43,0.36,25.0%,54.32,49.12,90.4%,13.45,12.19,90.7%,2.15,0.00,0.0%,0.00
Max Rosenfelder,12,491,0.00,0.00,-0.00,0.18,0.00,0.00%,0.02,11.18,151.0,13.5,5.68,76.6,2.5,0.00,0.00,0.00,0.00,1.47,0.92,4.03,0.37,5.32,3.48,2.57,73.7%,3.67,1.10,30.0%,43.81,39.04,89.1%,4.58,2.57,56.0%,0.00,0.00,0.0%,0.00
Maximilian Arnold,25,1854,0.05,0.02,0.03,0.68,0.24,7.14%,0.03,10.00,90.7,9.1,4.22,29.7,0.3,0.15,0.00,0.05,0.00,1.07,1.17,3.69,0.58,3.64,4.42,2.52,57.1%,1.21,0.58,48.0%,49.95,42.33,84.7%,10.73,7.23,67.4%,0.68,0.29,42.9%,0.00
Maximilian Beier,32,2036,0.40,0.33,0.07,2.21,0.88,18.00%,0.15,6.76,74.1,11.0,3.76,36.0,0.4,0.35,0.04,0.27,0.04,1.15,0.62,3.05,0.13,0.93,7.82,3.01,38.4%,2.83,1.06,37.5%,25.99,18.30,70.4%,12.55,8.05,64.1%,1.24,0.09,7.1%,0.22
Maximilian Eggestein,34,3060,0.09,0.11,-0.02,1.29,0.38,6.82%,0.09,9.82,105.1,10.7,4.68,45.3,0.3,0.12,0.00,0.12,0.00,1.88,0.88,3.79,0.44,1.82,4.50,2.91,64.7%,3.44,1.62,47.0%,43.59,36.03,82.7%,11.82,8.35,70.7%,0.41,0.06,14.3%,0.06
Maximilian Mittelstädt,32,2189,0.25,0.18,0.07,1.27,0.66,19.35%,0.14,13.53,132.9,9.8,6.41,51.4,0.3,0.21,0.04,0.29,0.00,2.75,1.52,4.81,0.25,2.92,6.58,4.40,66.9%,2.47,1.48,60.0%,55.01,47.41,86.2%,16.77,12.79,76.2%,4.11,1.11,27.0%,0.21
Mert Kömür,28,1462,0.12,0.22,-0.09,2.65,0.98,4.65%,0.08,10.96,125.8,11.5,5.23,50.0,0.6,0.92,0.00,0.25,0.06,0.92,0.43,2.89,0.00,1.35,8.19,3.08,37.6%,3.63,0.86,23.7%,28.26,22.72,80.4%,12.13,9.17,75.6%,1.35,0.18,13.6%,0.25
Michael Gregoritsch,17,918,0.59,0.52,0.07,2.84,0.98,20.69%,0.18,3.14,30.3,9.6,1.67,16.8,1.0,0.49,0.10,0.00,0.00,0.49,0.49,1.76,0.39,1.47,4.90,2.25,46.0%,8.63,3.14,36.4%,17.45,9.71,55.6%,8.92,4.41,49.5%,0.59,0.20,33.3%,0.10
Michael Olise,32,2317,0.58,0.45,0.14,3.92,1.94,14.85%,0.11,25.48,300.7,11.8,13.21,121.8,0.4,1.83,0.31,1.20,0.39,0.93,0.50,3.88,0.04,0.35,12.00,5.71,47.6%,0.82,0.31,38.1%,60.48,50.88,84.1%,36.36,29.09,80.0%,2.60,0.62,23.9%,0.85
Mikkel Kaufmann,16,534,0.17,0.24,-0.07,1.85,0.51,9.09%,0.13,3.03,33.7,11.1,1.18,12.4,1.8,0.17,0.00,0.00,0.00,0.51,0.17,2.19,0.17,1.85,7.25,2.53,34.9%,9.10,3.88,42.6%,16.69,10.79,64.7%,6.40,3.88,60.5%,0.17,0.17,100.0%,0.00
Miro Muheim,29,2437,0.00,0.04,-0.04,0.85,0.26,0.00%,0.05,10.56,114.0,10.8,5.98,60.6,0.4,0.11,0.00,0.22,0.07,2.29,1.00,4.65,0.18,2.29,8.12,4.87,60.0%,1.59,0.66,41.9%,40.92,30.95,75.6%,12.67,8.38,66.2%,2.66,0.74,27.8%,0.04
Mohammed Amoura,30,1927,0.37,0.40,-0.03,2.80,0.89,13.33%,0.14,8.31,102.6,12.3,5.74,61.7,0.5,0.70,0.09,0.47,0.14,1.77,0.33,2.80,0.05,0.89,7.52,3.04,40.4%,3.27,1.17,35.7%,23.07,16.07,69.6%,9.99,6.12,61.2%,1.54,0.19,12.1%,0.28
Montrell Culbreath,12,740,0.12,0.22,-0.10,1.09,0.24,11.11%,0.20,11.31,139.1,12.3,7.42,76.4,1.3,0.36,0.00,0.24,0.00,3.28,0.97,3.53,0.00,1.22,8.51,5.23,61.4%,1.34,0.36,27.3%,30.77,26.03,84.6%,12.89,9.85,76.4%,2.92,0.36,12.5%,0.00
Moritz Jenz,22,1789,0.05,0.03,0.02,0.25,0.05,20.00%,0.11,9.46,89.4,9.4,4.78,36.9,0.4,0.00,0.00,0.00,0.00,1.61,0.60,2.82,1.01,6.44,3.72,1.96,52.7%,4.68,3.17,67.7%,51.36,45.73,89.0%,4.33,2.72,62.8%,0.05,0.05,100.0%,0.00
Nadiem Amiri,26,2090,0.52,0.45,0.07,2.37,0.99,21.82%,0.19,12.66,147.0,11.6,6.89,71.5,0.4,0.43,0.00,0.34,0.04,1.33,0.95,4.74,0.13,0.39,7.06,3.53,50.0%,0.99,0.52,52.2%,47.84,38.89,81.3%,21.75,15.67,72.1%,1.08,0.26,24.0%,0.39
Nathan Tella,17,871,0.10,0.29,-0.19,2.48,0.83,4.17%,0.12,10.95,142.9,13.1,7.13,96.0,1.4,1.24,0.00,0.52,0.21,1.24,0.52,2.89,0.10,0.72,9.51,4.55,47.8%,1.96,0.93,47.4%,24.39,20.77,85.2%,10.75,8.58,79.8%,3.10,0.72,23.3%,0.10
